id,caste_name,is_active,religion_id
1,Any Caste,1,2
2,Brahmin,1,2
3,Rajput,1,2
4,Kurmi,1,2
5,Yadav,1,2
6,Paswan,1,2
7,Koyari,1,2
8,Mandal,1,2
9,Kushwaha,1,2
10,Harijan,1,2
11,Kahar,1,2
12,Sharma,1,2
13,Bhumihar,1,2
14,Rajak(Dhobi),1,2
15,Kumhar(Pandit),1,2
16,Adventists,1,4
17,Baptists,1,4
18,Congregationalists,1,4
19,Lutherans,1,4
20,Methodists,1,4
21,Pentecostals,1,4
22,Presbyterians,1,4
23,Catholics,1,4
24,Orthodox,1,4
25,Protestants,1,4
26,Sunni,1,3
27,Shia,1,3
28,Sufism,1,3
29,Ahmaddiya,1,3
30,Zikris,1,3
31,Nirankaris,1,5
32,Namdharis,1,5
33,Nirmala,1,5
34,Radha Soami,1,5
35,Sanatan Sikhs,1,5
36,Udasi,1,5
37,Miharvans,1,5
38,Ramraiyas,1,5
39,Nanakpanthi,1,5
40,Digambara,1,6
41,Svetambara,1,6
42,Theravada,1,7
43,Mahayana,1,7
44,Vajrayana,1,7
